name,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price
STUNNING APT IN ST JAMES,Westminster,51.50612,-0.14029,Entire home/apt,14,0,,,5,365,0,1300.0
"Luxury designer 2 bed flat, heart of Notting Hill",Kensington and Chelsea,51.51146,-0.2021,Entire home/apt,7,36,2024-06-19,0.54,2,159,3,543.0
Fab 3-Bed/2 Bath & Wifi: Trendy W1,Westminster,51.52195,-0.14094,Entire home/apt,3,56,2024-02-19,0.34,6,285,2,493.0
4 bedroom (+nursery) designer pad Belsize Park,Camden,51.54655,-0.16495,Entire home/apt,4,27,2023-12-29,0.18,1,197,1,476.0
Artist City Retreats x 2 - with amazing views!,Hackney,51.52932,-0.08094,Entire home/apt,1,322,2024-08-25,2.29,3,322,5,696.0
"Garden flat, Putney",Wandsworth,51.4603,-0.22061,Private room,1,1,2012-03-26,0.01,1,365,0,908.0
Big House for Olympics sleeps 6 to8,Camden,51.54897,-0.18309,Entire home/apt,14,1,2022-07-11,0.04,2,365,0,759.0
Very Central! Bayswater Apartment,Westminster,51.51304,-0.19031,Private room,3,45,2016-05-15,0.3,1,159,0,500.0
The Old Coach House (Olympics),Lewisham,51.46929,-0.00834,Entire home/apt,14,0,,,1,365,0,1500.0
Beautiful Historic 3 bedroom House Angel Islington,Islington,51.53493,-0.10135,Entire home/apt,3,42,2024-08-20,1.05,1,35,6,425.0
"5 bed house, Islington, Big garden!",Islington,51.55831,-0.12554,Entire home/apt,5,38,2024-08-19,0.26,2,27,4,500.0
LUXURY APT. NEAR BUCKINGHAM PALACE,Westminster,51.49695,-0.13888,Entire home/apt,186,1,2014-07-21,0.01,1,362,0,901.0
"160 Reviews Luxe Flat, 2 Large Beds, Central",Hammersmith and Fulham,51.49557,-0.22843,Entire home/apt,32,164,2024-03-25,1.14,26,166,2,1134.0
Luxury double room in Rotherhithe,Southwark,51.50374,-0.03921,Private room,1,1,2014-08-31,0.01,2,365,0,499.0
A Unique & Spacious Urban Sanctuary,Islington,51.53035,-0.11272,Entire home/apt,4,10,2022-12-30,0.07,3,364,0,600.0
Lovely double room with ensuite bath near Brixton,Lambeth,51.46781,-0.09836,Private room,3,12,2017-11-01,0.08,2,178,0,2000.0
Blackheath London house (greenwich),Lewisham,51.46826,-0.00482,Private room,60,0,,,1,358,0,445.0
"Stunning house with large garden,",Wandsworth,51.45537,-0.20466,Entire home/apt,4,1,2021-01-02,0.02,1,358,0,490.0
Prime location luxury home,Kensington and Chelsea,51.49491,-0.16404,Entire home/apt,3,12,2022-07-10,0.09,1,269,0,912.0
Beautiful 2-Bed Fitzrovia W1: Heart of London,Camden,51.52197,-0.14035,Entire home/apt,3,123,2024-06-25,0.87,6,84,5,500.0
3 Bed 2 Bath Warehouse loft Zone 1,Lambeth,51.48731,-0.11603,Entire home/apt,1,181,2024-08-11,1.44,12,313,5,586.0
Luxury 2 Bed Designer Apartment,Westminster,51.52499,-0.15965,Entire home/apt,5,25,2017-12-22,0.22,2,177,0,650.0
"Light & spacious family house, Kensal Rise, London",Brent,51.53679,-0.21651,Entire home/apt,3,60,2022-01-02,0.44,4,73,0,550.0
The Lookout: London's Panoramic 3 Bed,Islington,51.52887,-0.11097,Entire home/apt,4,61,2024-07-07,0.44,3,351,9,500.0
Chelsea Apartment,Westminster,51.4877,-0.1511,Entire home/apt,90,111,2019-08-04,0.91,1,365,0,499.0
Historic art house in London's finest location!,Camden,51.53955,-0.15455,Entire home/apt,1,107,2024-08-09,0.98,1,253,10,428.0
4BR London Mews House in Notting Hill,Kensington and Chelsea,51.514413266337286,-0.2018996813034662,Entire home/apt,3,11,2024-07-07,0.71,1,8,4,499.0
"2 BD garden flat, Angel, Islington",Islington,51.53311,-0.1145,Entire home/apt,3,75,2019-03-05,0.56,2,0,0,1000.0
Luxury Mews House in quiet central London location,Westminster,51.513479079216914,-0.1785462873352101,Entire home/apt,5,9,2024-07-24,0.08,1,308,5,721.0
Private One Bed Flat in Islington! *FLAT B*,Islington,51.53626,-0.1103,Entire home/apt,3,163,2021-09-01,1.23,2,190,0,2000.0
"Royal Kensington, in style",Kensington and Chelsea,51.50661,-0.20619,Entire home/apt,6,26,2024-06-23,0.21,3,349,3,520.0
Orlando Road,Lambeth,51.4658,-0.14277,Entire home/apt,3,17,2023-09-04,0.64,1,282,0,550.0
Space & Light 100m to Highgate Tube & Free Parking,Haringey,51.57726,-0.14744,Entire home/apt,21,38,2024-08-28,0.32,1,212,2,450.0
Modern family home (open for long term stay),Hammersmith and Fulham,51.4804614,-0.2012871,Entire home/apt,4,4,2024-05-28,0.16,1,270,1,980.0
Designers home Marylebone Mayfair space to relax,Westminster,51.51986,-0.15716,Entire home/apt,2,76,2024-08-15,1.06,5,250,16,544.0
Now 4 luxury rooms in SW London,Wandsworth,51.45924,-0.23057,Private room,1,33,2024-03-24,0.26,4,189,2,416.0
"5 Bedroom Mews House, Knightsbridge",Westminster,51.50132,-0.17041,Entire home/apt,5,115,2024-08-18,0.91,1,110,9,800.0
Historic family home overlooking a garden Square,Islington,51.53698,-0.10658,Entire home/apt,4,8,2024-08-26,0.06,1,125,2,900.0
"Lovely House Islington, Central Lon",Islington,51.54976,-0.10979,Entire home/apt,6,16,2022-08-01,0.13,1,224,0,440.0
Central & Calm: Lovely 4 BR London Townhouse,Southwark,51.4866,-0.10536,Entire home/apt,4,30,2024-08-18,0.27,1,263,8,468.0
Artistic Flat in the Heart of West London,Westminster,51.51318,-0.12562,Entire home/apt,4,101,2024-08-13,0.82,2,276,9,525.0
HUGE DOUBLE ROOM WITH MEZZANINE,Hackney,51.57488,-0.08535,Entire home/apt,300,0,,,1,364,0,5000.0
"Bright ,Modern, 12m to Bond street.",Brent,51.55118,-0.2229,Entire home/apt,45,10,2020-01-16,0.08,2,179,0,5500.0
Beautiful family home.,Islington,51.55932,-0.12715,Entire home/apt,3,0,,,1,175,0,500.0
"Victorian Cottage in Conservation Area, Greenwich.",Greenwich,51.48676,0.0036,Entire home/apt,3,14,2019-12-28,0.16,1,173,0,807.0
SOPHISTICATED BOUTIQUE APARTMENT,Westminster,51.51983,-0.15074,Entire home/apt,1,131,2024-08-02,1.17,18,103,21,531.0
"Family house near Park, sleeps 7, E London",Hackney,51.53622,-0.05241,Entire home/apt,2,152,2024-08-18,1.24,1,265,10,650.0
2 bedroom Mayfair flat on prestigious Mount street,Westminster,51.50923,-0.15232,Entire home/apt,3,30,2024-08-19,0.31,1,106,9,650.0
Beautiful Queens Park 4 Bed House,Brent,51.53674,-0.22023,Entire home/apt,7,7,2023-08-09,0.09,1,126,0,525.0
Studio Hammersmith,Hammersmith and Fulham,51.48794,-0.21253,Entire home/apt,3,31,2020-08-31,0.25,1,216,0,599.0
Majestic Family Home,Islington,51.54725,-0.09296,Entire home/apt,28,31,2022-03-29,0.26,1,0,0,557.0
Beautiful 4 bed  Family Home in Battersea,Wandsworth,51.46625,-0.16019,Entire home/apt,3,0,,,1,168,0,450.0
Wander in Kensington Gardens from a Period Home,Westminster,51.5156,-0.18047,Entire home/apt,7,30,2022-11-06,0.24,2,364,0,685.0
West Hampstead Garden Flat & Studios,Camden,51.54618,-0.18684,Entire home/apt,12,28,2023-08-17,0.25,1,56,0,435.0
Stunning Central Large House & Garden! 6 Bedrooms,Lambeth,51.49239,-0.11457,Entire home/apt,3,287,2024-07-20,2.35,1,260,39,622.0
Georgian Town House in zone 1,Southwark,51.49303,-0.09008,Entire home/apt,2,164,2024-08-04,1.36,2,283,16,597.0
"Lovely 5 bedroom house w garden in Barnes, London",Richmond upon Thames,51.4746,-0.24046,Entire home/apt,3,8,2022-08-07,0.09,3,5,0,600.0
HIGH-TECH FILM LOCATION,Southwark,51.49647,-0.03967,Entire home/apt,1,3,2019-12-12,0.03,1,364,0,1200.0
Spacious 5 Bedroom Apartment,Camden,51.52586,-0.12605,Entire home/apt,3,20,2024-08-18,0.17,62,102,2,551.0
Unique flat in an awesome location!,Westminster,51.51668,-0.13455,Entire home/apt,2,119,2024-07-09,0.99,1,319,8,550.0
Notting Hill Stylish 3-Bedroom with Private Garden,Westminster,51.51683,-0.19732,Entire home/apt,3,35,2023-06-07,0.29,1,348,0,422.0
Iconic London Marylebone Mews House,Westminster,51.51906,-0.1507,Entire home/apt,7,63,2024-08-17,0.55,1,102,6,455.0
Stunning Mayfair Town House off Bond Street.,Westminster,51.51531,-0.14677,Entire home/apt,10,5,2024-07-07,0.08,4,365,1,1243.0
Luxury two Bedroom garden flat in Battersea,Wandsworth,51.47395,-0.16635,Entire home/apt,1,62,2022-12-31,0.56,2,309,0,450.0
Lovely loft w/ private bathroom,Brent,51.53173,-0.21892,Entire home/apt,1,33,2017-11-05,0.28,1,340,0,475.0
LONDON LUXURY  HOUSE CHISWICK GREAT PLACE TO STAY,Hounslow,51.48207,-0.26917,Entire home/apt,7,28,2023-11-28,0.24,19,354,1,440.0
Stunning Chelsea House with Roof Terrace,Kensington and Chelsea,51.47959,-0.18134,Entire home/apt,7,45,2024-08-20,0.39,1,345,5,450.0
Huge Luxury House with Large Garden - can sleep 8,Islington,51.54215,-0.11106,Entire home/apt,3,32,2024-06-30,0.27,1,179,3,490.0
4bdrm house w swim.pool. Only rent for shoots,Kensington and Chelsea,51.4823,-0.18412,Entire home/apt,1,1,2017-07-24,0.01,10,365,0,1950.0
Private double room in Rotherhithe,Southwark,51.50204,-0.03936,Private room,1,0,,,2,365,0,499.0
"Luxury, Quiet Mews House, South Kensington SW7",Kensington and Chelsea,51.49361377362646,-0.1791262883120006,Entire home/apt,5,90,2024-08-19,0.79,1,1,11,458.0
Ivy | Linhope Street | Pro-Managed,Westminster,51.5248908996582,-0.1621289998292923,Entire home/apt,5,5,2022-10-01,0.08,77,4,0,540.0
"Beautiful Victorian Home, 5 Bedrooms - Sleeps 10",Tower Hamlets,51.51753,-0.05486,Entire home/apt,7,53,2024-08-31,0.47,3,131,3,500.0
Ivy | Queensdale Place | Pro-Managed,Kensington and Chelsea,51.50740432739258,-0.2139910012483596,Entire home/apt,5,4,2018-09-12,0.04,77,302,0,618.0
Light and spacious 2 bed in Shoreditch,Hackney,51.52486,-0.08067,Entire home/apt,5,48,2024-07-16,0.41,1,273,7,420.0
4 bed home in Islington London on historic square,Islington,51.54041,-0.11675,Entire home/apt,4,13,2023-08-20,0.13,1,363,0,550.0
Stunning Interior designed family home & garden,Lambeth,51.466102600097656,-0.1433950066566467,Entire home/apt,1,74,2024-06-24,0.65,2,358,2,652.0
Sunny garden flat with double room,Brent,51.55148,-0.22443,Private room,2,15,2016-04-01,0.13,1,83,0,500.0
Holland Park Garden Flat Sleeps 6,Hammersmith and Fulham,51.50672,-0.21618,Entire home/apt,2,37,2016-05-02,0.32,1,90,0,450.0
Luxury London Home - Richmond Park.,Richmond upon Thames,51.45794,-0.27607,Entire home/apt,28,1,2022-07-17,0.04,3,358,0,525.0
Beautiful home in Wimbledon very close to Tube,Merton,51.41772,-0.19361,Entire home/apt,6,3,2022-08-05,0.11,1,267,0,830.0
Chic Apartment Retreat Close to Richmond Park,Richmond upon Thames,51.45577,-0.29841,Entire home/apt,3,83,2024-01-27,0.75,1,276,13,600.0
Unique maisonette near Harrods,Kensington and Chelsea,51.49811,-0.1688,Entire home/apt,180,51,2023-07-08,0.47,1,267,0,511.0
Stunning Flat in Leafy Hampstead,Camden,51.55204,-0.17701,Entire home/apt,1,2,2015-09-11,0.02,1,364,0,500.0
"Stunning, large, 5BR family home nr tube and park",Wandsworth,51.43467,-0.15118,Entire home/apt,3,31,2024-07-10,0.36,1,268,2,736.0
Beautiful and Very Spacious Victorian House,Southwark,51.44423,-0.06673,Entire home/apt,3,81,2023-09-24,0.73,2,336,1,700.0
Gem in the heart of Chelsea,Kensington and Chelsea,51.48961,-0.16474,Entire home/apt,3,54,2024-04-20,0.49,1,113,3,1000.0
Jones Real Escapes - Retreat,Greenwich,51.479504,0.100149,Entire home/apt,2,68,2024-08-04,1.9,1,342,12,450.0
4 Double Bedrooms with 3 Bathrooms,Hammersmith and Fulham,51.48101,-0.20978,Private room,2,21,2021-12-23,0.19,11,170,0,431.0
The Captain Cook Hotel - Fulham,Hammersmith and Fulham,51.48103,-0.20974,Private room,2,13,2023-07-28,0.12,11,133,0,924.0
"❤️3 BEDROOM, LITTLE VENICE, 4 ACRE GARDEN",Westminster,51.52393,-0.18172,Entire home/apt,4,248,2024-09-01,2.59,1,216,33,429.0
Gorgeous  4bed house in North London,Barnet,51.60502,-0.23639,Entire home/apt,5,0,,,50,364,0,500.0
Luxury Apartment  Nr Selfridges / Oxford Street,Westminster,51.51645,-0.15452,Entire home/apt,4,82,2024-08-20,0.73,1,310,8,421.0
Large Family home & garden in central Barnes,Richmond upon Thames,51.4748,-0.24797,Entire home/apt,7,0,,,1,173,0,2000.0
Luxury W. London 6 bedroom + heated swimming pool!,Ealing,51.50782,-0.29918,Entire home/apt,2,79,2023-12-26,0.72,1,1,3,580.0
Design home,Camden,51.54388,-0.19661,Entire home/apt,14,50,2024-08-16,0.45,2,91,4,500.0
Stunning spacious 3 bdr with roof terrace UNIQUE!!,Hammersmith and Fulham,51.47311,-0.20212,Entire home/apt,5,38,2019-12-29,0.35,1,365,0,1000.0
Luxurious Houseboat Central London (Regents Canal),Westminster,51.53733,-0.153,Entire home/apt,3,9,2023-12-12,0.09,2,357,1,475.0
LAST MINUTE OFFER IN BRICK LANE!,Tower Hamlets,51.52642,-0.06987,Private room,1,0,,,1,365,0,700.0
Savour Sweeping Skyline Views at a Clerkenwell Penthouse,Islington,51.52933,-0.11104,Entire home/apt,3,53,2024-01-01,0.48,2,352,3,607.0
Chelsea Family House on River -  Enquiries Only,Kensington and Chelsea,51.48404,-0.17181,Entire home/apt,5,15,2022-08-14,0.14,1,156,0,700.0
London Townhouse House Putney Riverside. 5 Star,Wandsworth,51.46358,-0.21137,Entire home/apt,3,108,2024-08-21,1.06,7,254,6,600.0
Family Home in West Wimbledon,Merton,51.39932,-0.23024,Entire home/apt,5,0,,,1,173,0,650.0
"Beautiful family home, 20 min from London Victoria",Bromley,51.41914339240202,-0.0547271808515624,Entire home/apt,3,20,2020-08-16,0.19,1,79,0,700.0
"Light, Stylish Flat with High-End Accents in Hip Shoreditch",Hackney,51.52422,-0.07881,Entire home/apt,2,52,2024-08-20,0.69,11,186,4,620.0
Family home for Rugby World Cup,Richmond upon Thames,51.45606,-0.36232,Entire home/apt,2,0,,,1,365,0,500.0
Home from home,Hillingdon,51.5618,-0.39061,Private room,1,0,,,1,364,0,460.0
Garden View Sloane Square 2 Bed 2.5Bath £2m Wi-Fi,Kensington and Chelsea,51.48956,-0.1644,Entire home/apt,1,38,2022-07-28,0.35,15,276,0,437.0
2 Bed Luxury Flat on Richmond Hill,Richmond upon Thames,51.45344,-0.29845,Entire home/apt,2,0,,,1,365,0,500.0
Walk to the Natural History Museum from a Bright Apartment,Kensington and Chelsea,51.49613,-0.18059,Entire home/apt,7,99,2024-08-17,0.92,1,276,12,597.0
Embankment Gardens,Kensington and Chelsea,51.48342,-0.1691,Entire home/apt,1,3,2020-01-01,0.04,404,63,0,846.0
Home  for Art Lovers set in Garden,Richmond upon Thames,51.4574,-0.29834,Entire home/apt,3,89,2024-09-01,0.82,1,198,12,443.0
Bright airy large Victorian house,Camden,51.54017,-0.18437,Entire home/apt,7,0,,,1,83,0,5000.0
Lovely 4 bed house in Wandsworth,Wandsworth,51.45147,-0.1849,Entire home/apt,3,14,2021-12-26,0.18,1,180,0,500.0
2 bed flat with beautiful view!,Brent,51.54593,-0.22786,Entire home/apt,30,1,2015-10-30,0.01,1,90,0,506.0
"Gorgeous 5 Bedroom Family Home, Richmond /Garden",Richmond upon Thames,51.45502,-0.30856,Entire home/apt,6,18,2024-07-17,0.19,8,329,3,850.0
Spectacular 4 Bed/4 Bath House in Chelsea,Kensington and Chelsea,51.49374,-0.17931,Entire home/apt,4,11,2024-08-24,0.13,3,312,2,950.0
Onslow Sq - 2 Beds Flat South Ken,Kensington and Chelsea,51.49107,-0.17625,Entire home/apt,14,2,2016-06-07,0.02,1,358,0,489.0
Spacious 3 Bedrooms 3 Bathroom by Mansley,Kensington and Chelsea,51.49067,-0.19062,Entire home/apt,2,38,2024-08-21,0.36,12,342,8,675.0
The Choice - Mayfair Piccadilly-2 bed,Westminster,51.50602,-0.14647,Entire home/apt,3,26,2023-04-10,0.24,4,307,0,492.0
Wimbledon Art Deco House,Wandsworth,51.44038,-0.21495,Entire home/apt,7,0,,,1,365,0,1350.0
Large double room in West Dulwich,Westminster,51.50832,-0.12796,Private room,1,0,,,1,365,0,680.0
Relax in Tropical Garden in an Architecturally Designed House in the South Bank,Lambeth,51.50582,-0.10838,Entire home/apt,2,63,2024-08-03,0.63,1,112,3,500.0
Exceptional flat in garden square,Kensington and Chelsea,51.49064,-0.1928,Entire home/apt,5,36,2022-09-16,0.34,1,362,0,500.0
Spacious Double Room in E14,Tower Hamlets,51.51102,-0.04129,Private room,1,20,2022-03-26,0.19,1,362,0,4000.0
"Room in a cosy flat. Central, clean",Camden,51.55419,-0.1438,Private room,2,8,2016-09-10,0.08,1,365,0,8000.0
Beautifully designed duplex close to Oxford Street,Westminster,51.51383,-0.1493,Entire home/apt,14,14,2024-05-31,0.14,45,141,2,450.0
3 Bed Flat in South Hampstead with Large Garden!,Camden,51.54335,-0.18388,Entire home/apt,4,8,2019-08-02,0.08,1,363,0,25000.0
Quiet 5 bedroom house + parking,Kensington and Chelsea,51.50285,-0.20824,Entire home/apt,3,35,2024-09-02,0.34,1,46,10,495.0
Mayfair double en-suite bedroom,Westminster,51.51336,-0.15567,Private room,30,41,2020-02-04,0.42,3,180,0,1000.0
3 Bed 4 Bath flat Bayswater London,Westminster,51.51734,-0.1813,Entire home/apt,5,80,2023-07-20,0.76,1,281,0,550.0
